;;;Year Ended (1)(2);;;;
;;;December 31,;;;;
(In millions, except operating data);2017;2016;2015;2014;2013;;
Balance Sheet Data (at period end):;;;;;;;
Cash and equivalents; $310,00 ; $207,10 ; $211,30 ; $218,20 ; $546,50 ;;
Corporate borrowings;4.235,30;3.761,00;1.912,90;1.782,40;2.076,90;;
Other long-term liabilities;903,80;706,60;462,60;419,70;370,90;;
Capital and financing lease obligations;651,40;675,40;101,90;109,30;116,20;;
Stockholder's equity;2.112,40;2.009,70;1.538,70;1.512,70;1.507,50;;
Total assets;9.805,90;8.641,80;5.088,30;4.755,20;5.044,80;;
Other Data:;;;;;;;
Net cash provided by operating;;;;;;;
activities; $558,70 ; $431,70 ; $467,50 ; $297,30 ; $357,30 ;;
Capital expenditures;-626,80;-421,70;-333,40;-270,70;-260,80;;
Screen additions;96;17;23;29;12;;
Screen acquisitions;736;5.201;410;36;37;;
Screen dispositions;258;38;14;33;29;;
Construction openings (closures), net;37;-48;60;-48;-32;;
Average screens-continuing operations(8);10.675;5.592;4.933;4.871;4.859;;
Number of screens operated;11.169;10.558;5.426;4.947;4.963;;
Number of theatres operated;1.014;906;387;346;343;;
Screens per theatre;11,00;11,70;14,00;14,30;14,40;;
Attendance (in thousands)-continuing;;;;;;;
operations(8);346.763;215.145;196.902;187.241;199.270;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
