;;;Year Ended;;
;;;December 31,;;
(In millions, except operating data);2022;2021;2020;2019;2018
Balance Sheet Data (at period end):;;;;;
Cash and cash equivalents; $631,50 ; $1.592,50 ; $308,30 ; $265,00 ; $313,30 
Corporate borrowings;5140,8;5428;5715,8;4753,4;4723
Other long-term liabilities(8);105,1;165;241,3;195,9;963,1
Capital and financing lease obligations;58,8;72,7;96;99,9;560,2
AMC Entertainment Holdings, Inc.'s;;;;;
stockholder's equity (deficit);-2624,5;-1789,5;-2885,1;1214,2;1397,6
Total assets;9135,6;10821,5;10276,4;13675,8;9495,8
Other Data:;;;;;
Net cash provided by (used in) operating;;;;;
activities; $(628,50); $(614,10); $(1.129,50); $579,00 ; $523,20 
Capital expenditures;-202;-92,4;-173,8;-518,1;-576,3
Screen additions;51;82;63;85;89
Screen acquisitions;157;140;14;70;39
Screen dispositions;323;166;593;210;211
Construction openings (closures), net;27;-37;18;5;5
Average screens-continuing operations(9);10118;8998;5049;10669;10696
Number of screens operated;10474;10448;6048;11041;11091
Number of theatres operated;940;930;503;1004;1006
Total number of circuit screens;10474;10562;10543;11041;11091
Total number of circuit theatres;940;946;950;1004;1006
Screens per theatre;11,1;11,2;11,1;11;11
Attendance (in thousands)-continuing;;;;;
operations(9);200965;128547;75190;356443;358901
