Column1;2012;2013;2014;2015;2016;2017;2018;2019;2020
Admissions;$1,580,401;$1,706,145;$1,644,169;$1,765,519;$1,789,137;$1,794,982;$1,834,173;$1,805,321;$356,508
Concession;771,405;845,168;845,376;936,97;990,103;1,038,788;1,108,793;1,161,083;231,046
Other;121,725;131,581;137,445;150,12;139,525;157,777;278,769;316,695;98,756
Total revenues;2,473,531;2,682,894;2,626,990;2,852,609;2,918,765;2,991,547;3,221,735;3,283,099;686,31
Film rentals and advertising (1);830,837;896,032;856,388;945,64;962,655;966,51;999,755;1,003,832;186,81
Concession supplies;123,471;135,715;131,985;144,27;154,469;166,32;180,974;206,441;48,647
Salaries and wages;247,468;269,353;273,88;301,099;325,765;354,51;383,86;410,086;145,031
Facility lease expense;281,615;307,851;317,096;319,761;321,294;328,197;323,316;346,094;279,764
Utilities and other (1);294,94;329,182;335,109;355,801;355,926;355,041;448,07;474,711;229,505
General and administrative expenses;148,624;165,351;151,444;156,736;143,355;153,278;165,173;173,384;127,599
Depreciation and amortization;147,675;163,97;175,656;189,206;209,071;237,513;261,162;261,155;259,776
Impairment of long-lived assets;3,031;3,794;6,647;8,801;2,836;15,084;32,372;57,001;152,706
(Gain) loss on sale of assets and other;12,168;-3,845;15,715;8,143;20,459;22,812;38,702;12,008;-8,923
Total cost of operations;$2,089,829;$2,267,403;$2,263,920;$2,429,457;$2,495,830;$2,599,265;$2,833,384;$2,944,712;$1,441,284
Operating income;$383,702;$415,491;$363,070;$423,152;$422,935;$392,282;$388,351;$338,387;$(754,974)
Interest expense;$123,665;$124,714;$113,698;$112,741;$108,313;$105,918;$109,994;$99,941;$129,871
Net income;$171,420;$150,548;$193,999;$218,728;$256,827;$266,019;$215,305;$193,848;$(617,948)
Net income attributable to Cinemark Holdings, Inc.;$168,949;$148,470;$192,610;$216,869;$255,091;$264,180;$213,827;$191,386;$(616,828)
Net income attributable to Cinemark Holdings, Inc. per share:;;;;;;;;;
Basic;$1.47;$1.28;$1.66;$1.87;$2.19;$2.26;$1.83;$1.63;$(5.25)
Diluted;$1.47;$1.28;$1.66;$1.87;$2.19;$2.26;$1.83;$1.63;$(5.25)
Cash dividends declared per common share;$0.84;$0.92;$1.00;$1.00;$1.08;$1.16;$1.28;$1.36;$0.36
