;;;;;;As of / Three Months Ended;;;;Twelve Months Ended;As of / Three Months Ended;;;;Twelve Months Ended;As of / Three Months Ended;;;;Twelve Months Ended
;;;;;;March 31,;June 30,;September 30,;December 31,;December 31,;March 31,;June 30,;September 30,;December 31,;December 31,;March 31,;June 30,;September 30,;December 31,;December 31,
;;;;;;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017
;;;;;;;;;;;;;;;;;;;;
Domestic Streaming;;;;;;;;;;;;;;;;;;;;
;Total memberships at end of period;;;;;41.397;42.300;43.181;44.738;;46.967;47.129;47.497;49.431;;50.854;51.921;52.772;54.750;
;Paid memberships at end of period;;;;;40.315;41.057;42.068;43.401;;45.714;46.004;46.479;47.905;;49.375;50.323;51.345;52.810;
;;;;;;;;;;;;;;;;;;;;
;Revenues;;;;; $984.532 ; $1.025.913 ; $1.063.961 ; $1.105.933 ; $4.180.339 ; $1.161.241 ; $1.208.271 ; $1.304.333 ; $1.403.462 ; $5.077.307 ; $1.470.042 ; $1.505.499 ; $1.547.210 ; $1.630.274 ; $6.153.025 
;Cost of revenues;;;;;582.529;612.691;644.914;647.059;2.487.193;666.546;707.106;720.658;761.479;2.855.789;749.488;831.962;864.408;873.372;3.319.230
;Marketing;;;;;89.551;73.427;74.835;79.833;317.646;81.942;86.806;108.495;105.589;382.832;115.038;113.608;128.901;195.784;553.331
;Contribution profit;;;;;312.452;339.795;344.212;379.041;1.375.500;412.753;414.359;475.180;536.394;1.838.686;605.516;559.929;553.901;561.118;2.280.464
;Contribution margin;;;;;31,70%;33,10%;32,40%;34,30%;32,90%;35,50%;34,30%;36,40%;38,20%;36,20%;41,20%;37,20%;35,80%;34,40%;37,10%
;;;;;;;;;;;;;;;;;;;;
International Streaming;;;;;;;;;;;;;;;;;;;;
;Total memberships at end of period;;;;;20.877;23.251;25.987;30.024;;34.533;36.048;39.246;44.365;;47.894;52.031;56.476;62.832;
;Paid memberships at end of period;;;;;19.304;21.649;23.951;27.438;;31.993;33.892;36.799;41.185;;44.988;48.713;52.678;57.834;
;;;;;;;;;;;;;;;;;;;;
;Revenues;;;;; $415.397 ; $454.763 ; $516.870 ; $566.405 ; $1.953.435 ; $651.748 ; $758.201 ; $853.480 ; $947.666 ; $3.211.095 ; $1.046.199 ; $1.165.228 ; $1.327.435 ; $1.550.329 ; $5.089.191 
;Cost of revenues;;;;;375.278;422.966;451.251;530.880;1.780.375;629.899;698.162;748.515;834.794;2.911.370;847.317;1.017.612;1.081.485;1.191.497;4.137.911
;Marketing;;;;;105.126;123.713;133.267;144.340;506.446;126.068;129.223;173.548;179.407;608.246;156.232;160.715;183.589;224.155;724.691
;Contribution profit (loss);;;;;-65.007;-91.916;-67.648;-108.815;-333.386;-104.219;-69.184;-68.583;-66.535;-308.521;42.650;-13.099;62.361;134.677;226.589
;Contribution margin;;;;;-15,60%;-20,20%;-13,10%;-19,20%;-17,10%;-16,00%;-9,10%;-8,00%;-7,00%;-9,60%;4,10%;-1,10%;4,70%;8,70%;4,50%
;;;;;;;;;;;;;;;;;;;;
Total Streaming;;;;;;;;;;;;;;;;;;;;
;Total memberships at end of period;;;;;62.274;65.551;69.168;74.762;;81.500;83.177;86.743;93.796;;98.748;103.952;109.248;117.582;
;Paid memberships at end of period;;;;;59.619;62.706;66.019;70.839;;77.707;79.896;83.278;89.090;;94.363;99.036;104.023;110.644;
;;;;;;;;;;;;;;;;;;;;
;Revenue;;;;; $1.399.929 ; $1.480.676 ; $1.580.831 ; $1.672.338 ; $6.133.774 ; $1.812.989 ; $1.966.472 ; $2.157.813 ; $2.351.128 ; $8.288.402 ; $2.516.241 ; $2.670.727 ; $2.874.645 ; $3.180.603 ; $11.242.216 
;Cost of revenues;;;;;957.807;1.035.657;1.096.165;1.177.939;4.267.568;1.296.445;1.405.268;1.469.173;1.596.273;5.767.159;1.596.805;1.849.574;1.945.893;2.064.869;7.457.141
;Marketing;;;;;194.677;197.140;208.102;224.173;824.092;208.010;216.029;282.043;284.996;991.078;271.270;274.323;312.490;419.939;1.278.022
;Contribution profit ;;;;;247.445;247.879;276.564;270.226;1.042.114;308.534;345.175;406.597;469.859;1.530.165;648.166;546.830;616.262;695.795;2.507.053
;Contribution margin;;;;;17,70%;16,70%;17,50%;16,20%;17,00%;17,00%;17,60%;18,80%;20,00%;18,50%;25,80%;20,50%;21,40%;21,90%;22,30%
;;;;;;;;;;;;;;;;;;;;
Domestic DVD;;;;;;;;;;;;;;;;;;;;
