;;;;;;As of / Three Months Ended;;;;As of / Year Ended;As of / Three Months Ended;;;;As of / Year Ended;As of / Three Months Ended;;;;As of / Year Ended
;;;;;;March 31,;June 30,;September 30,;December 31,;December 31,;March 31,;June 30,;September 30,;December 31,;December 31,;March 31,;June 30,;September 30,;December 31,;December 31,
;;;;;;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020
;;;;;;;;;;;;;;;;;;;;
United States and Canada (UCAN);;;;;;;;;;;;;;;;;;;;
;Revenues (1);;;;; $1.976.157 ; $2.049.546 ; $2.094.850 ; $2.160.979 ; $8.281.532 ; $2.256.851 ; $2.501.199 ; $2.621.250 ; $2.671.908 ; $10.051.208 ; $2.702.776 ; $2.839.670 ; $2.933.445 ; $2.979.505 ; $11.455.396 
;Paid net membership additions (losses);;;;;2.487;961;1.140;1.747;6.335;1.876;-132;613;548;2.905;2.307;2.935;177;855;6.274
;Paid memberships at end of period;;;;;60.909;61.870;63.010;64.757;64.757;66.633;66.501;67.114;67.662;67.662;69.969;72.904;73.081;73.936;73.936
;Average paying memberships;;;;;59.666;61.390;62.440;63.884;61.845;65.695;66.567;66.808;67.388;66.615;68.816;71.437;72.993;73.509;71.689
;Average revenue per membership;;;;;$11,04 ;$11,13 ;$11,18 ;$11,28 ;$11,16 ;$11,45 ;$12,52 ;$13,08 ;$13,22 ;$12,57 ;$13,09 ;$13,25 ;$13,40 ;$13,51 ;$13,32 
;% change as compared to prior-year period;;;;;12%;13%;13%;10%;12%;4%;12%;17%;17%;13%;14%;6%;2%;2%;6%
;Constant currency % change as compared to prior-year period*;;;;;12%;13%;13%;10%;12%;4%;13%;17%;17%;13%;14%;6%;3%;2%;6%
;;;;;;;;;;;;;;;;;;;;
Europe, Middle East and Africa (EMEA);;;;;;;;;;;;;;;;;;;;
;Revenues;;;;; $886.649 ; $975.497 ; $1.004.749 ; $1.096.812 ; $3.963.707 ; $1.233.379 ; $1.319.087 ; $1.428.040 ; $1.562.561 ; $5.543.067 ; $1.723.474 ; $1.892.537 ; $2.019.083 ; $2.137.158 ; $7.772.252 
;Paid net membership additions;;;;;3.335;1.978;2.519;3.982;11.814;4.724;1.687;3.126;4.423;13.960;6.956;2.749;759;4.456;14.920
;Paid memberships at end of period;;;;;29.339;31.317;33.836;37.818;37.818;42.542;44.229;47.355;51.778;51.778;58.734;61.483;62.242;66.698;66.698
;Average paying memberships;;;;;27.672;30.328;32.577;35.827;31.601;40.180;43.386;45.792;49.567;44.731;55.256;60.109;61.863;64.470;60.425
;Average revenue per membership;;;;;$10,68 ;$10,72 ;$10,28 ;$10,20 ;$10,45 ;$10,23 ;$10,13 ;$10,40 ;$10,51 ;$10,33 ;$10,40 ;$10,50 ;$10,88 ;$11,05 ;$10,72 
;% change as compared to prior-year period;;;;;25%;23%;11%;3%;14%;-4%;-6%;1%;3%;-1%;2%;4%;5%;5%;4%
;Constant currency % change as compared to prior-year period*;;;;;11%;11%;10%;6%;9%;2%;3%;6%;7%;4%;4%;8%;3%;0%;3%
;;;;;;;;;;;;;;;;;;;;
Latin America (LATAM);;;;;;;;;;;;;;;;;;;;
;Revenues;;;;; $540.182 ; $568.071 ; $562.307 ; $567.137 ; $2.237.697 ; $630.472 ; $677.136 ; $741.434 ; $746.392 ; $2.795.434 ; $793.453 ; $785.368 ; $789.384 ; $788.522 ; $3.156.727 
;Paid net membership additions;;;;;1.543;1.535;1.320;1.962;6.360;1.470;343;1.490;2.037;5.340;2.901;1.750;256;1.213;6.120
