;;;;;;;;STANDALONE;;;;;CONSOLIDATED;;
S. No.;Particulars;;;;;;Quarter ended;;Year ended;;;Quarter ended;;Year ended;
Part 1;;;;;;31.03.2013;31.12.2012;31.03.2012;31.03.2013;31.03.2012;31.03.2013;31.12.2012;31.03.2012;31.03.2013;31.03.2012
;;;;;;;;;;;;;;;
;;;;;;Audited;Unaudited;Unaudited;Audited;Audited;Unaudited;Unaudited;Unaudited;Audited;Audited
1;(a) Net sales/ income from operations;;;;;14.536;18.719;11.312;66.937;47.604;24.208;20.193;11.940;80.532;51.793
;(b) Other Operating Income;;;;;60;42;70;215;221;234;41;84;436;310
;Total income from operations (net);;;;;14.596;18.761;11.382;67.152;47.825;24.442;20.234;12.024;80.968;52.103
2;EXPENSES;;;;;;;;;;;;;;
;a) Film Distributors' share;;;;;4.014;5.402;2.861;18.502;12.945;5.991;5.200;2.813;20.043;12.516
;b) Cost of materials consumed;;;;;999;1.268;780;4.587;3.202;1.621;1.372;828;5.485;3.396
;c) Enployee benefits expense;;;;;1.705;1.598;1.214;6.263;5.073;2.696;1.879;1.359;7.962;5.627
;d) Depreciation and amortisation expense;;;;;856;982;1.195;4.295;3.136;1.745;1.176;786;5.601;3.647
;e) Rent;;;;;2.981;2.815;2.624;10.553;7.653;4.871;3.022;2.828;12.964;8.128
;f) Repairs and maintenance;;;;;1.765;1.548;1.235;5.834;4.232;2.728;1.785;1.398;7.351;4.689
;g) Movie production. distribtion and print charges;;;;;12;;260;727;260;427;344;294;2.116;1.462
;h) Other expenses;;;;;2.478;2.783;1.847;10.046;7.124;4.460;3.199;2.037;12.924;8.348
;Total Expenses;;;;;14.810;16.396;12016;60.807;43.625;24.539;17.977;12.343;74.446;47.813
;;;;;;;;;;;;;;;
3;Profit / (Loss) from operations before other income. finance costs and exceptional items (12);;;;;214;2.365;634;6.345;4.200;97;2.257;319;6.522;4.290
4;Other Income;;;;;29;105;271;288;776;192;110;179;472;896
5;Profit/ (Loss) from ordinary activities before finance costs and exceptional items (3+4);;;;;185;2.470;363;6.633;4.976;95;2.367;140;6.994;5.186
6;Finance Costs;;;;;810;797;447;2.546;1.796;1.764;921;469;3.676;1.848
7;Profit / (Loss) from ordinary activities after finance costs but before exceptional items (56);;;;;995;1.673;810;4.087;3.180;1.669;1.446;609;3.318;3.338
8;Exceptional Items;;;;;;333;1.416;333;269;125;;1.447;125;237
9;Profit/ (Loss) from ordinary activity before tax (7+8);;;;;995;2.006;2.226;4.420;3.449;1.794;1.446;2.056;3.193;3.101
10;Tax expense.f(credit);;;;;2.764;584;745;1.065;638;2.940;557;824;1.237;572
11;Net Profit/ (Loss) from ordinary activities after tax (910);;;;;1.769;1.422;1.481;5.485;2.811;1.146;889;1.232;4.430;2.529
12;Extraordinary items (net of tax expenses);;;;;;;;;;;;;;
13;Net Profit/ Loss for the period (11+12);;;;11+12;1.769;1.422;1.481;5.485;2.811;1.146;889;1.232;4.430;2.529
14;Share of profit/ (Loss) of associates;;;;;;;;;;;;;;
15;Minority interest;;;;;;;;;;26;24;92;20;13
16;Net Profit / (Loss) after taxes. minority interest and share of profit/ (Loss) of associates (13+14+15);;;;;1.769;1.422;1.481;5.485;2.811;1.172;913;1.324;4.450;2.542
;;;;;;;;;;;;;;;
17;Paidup Equity Size Capital ( Face Value of Rs.10 each);;;;;3.962;2.892;2.590;3.962;2.590;3.962;2.892;2.590;3.962;2.590
;Paidup value of Nonconvertible Debentures;;;;;2.900;2.900;2.900;2.900;2.900;2.900;2.900;2.900;2.900;2.900
18;Reserve excluding Revaluation Reserves as per balance sheet;;;;;;;;60.360;24.747;;;;60.313;25.317
19 I.;Earnings per share (before extraordinary items);;;;;;;;;;;;;;
;(a) Basic Earning Per Share  not annualized;;;;;5.94;5.28;5.54;18.42;10.50;3.93;3.39;3.39;14.95;9.50
;(b) Diluted Earning Per Share  not annualized;;;;;5.93;5.06;5.51;18.40;10.46;3.93;3.25;3.38;14.93;9.46
;(fully paid up equity share of Rs.10 each);;;;;;;;;;;;;;
19 II.;Earnrngs per share (after extraordinary' items) (a) Basic Earning Per Share  not annualized;;;;;5.94;5.28;5.54;18.42;10.50;3.93;3.39;3.39;14.95;9.50
;(b) Diluted Earning Per Share  not annualized;;;;;5.93;5.06;5.51;18.40;10.46;3.93;3.25;3.38;14.93 ;9.46
;(fully paid up equity share of Rs.10 each);;;;;;;;;;;;;;
