S. No.;Particulars;;Quarter ended;;Year ended;;;Quarter ended;;Year ended;
Part 1;;31.03.2014;31.12.2013;31.03.2013;31.03.2014;31.03.2013;31.03.2014;31.12.2013;31.03.2003;31.03.2014;31.03.2013
;;Audited;Unaudited;Audited;Audited;Audited;Unaudited;Unaudited;Unaudited;Audited;Audited
;;;;;;;;;;;
1;(a) Net sales/ income from operations;28.870;22.281;13.930;127.059;67.023;31.387;33.570;23.623;134.751;80.639
;(b) Other Operating Income;26;69;22;282;215;36;96;191;372;431
;Total income from operations (net);28.896;22.350;13.952;127.341;67.238;31.423;33.666;23.814;135.123;81.070
2;EXPENSES;7.470;5.925;4.014;34.108;18.502;6.860;8.334;5.991;32.949;20.043
;a) Film Exhibition Cost;;;;;;;;;;
;b) Cost Of materials consumed;2.020;1.455;999;8.475;4.587;2.167;2.189;1.621;9.159;5.485
;c) Employee Costs;2.514;2.113;1.705;11.031;6.263;2.872;3.257;2.696;12.442;7.962
;d) Depreciation and amortisation;2.779;1.247;856;7.879;4.295;3.441;2.089;1.745;9.438;5.601
;e) Rent;5.850;3.971;2.587;22.168;10.553;6.046;6.041;4.477;23.044;12.964
;f) Repairs and maintenance;1.768;823;505;4.835;2.186;1.840;1.257;1.006;5.153;2.867
;g) Electricity & CAM Charges;3.766;2.875;2.037;15.489;7.937;4.009;4.230;3.210;16.483;9.647
;h) Movie production and distribution expenses;;;12;3;727;1.000;178;427;1.518;2.116
;;;;;;;;;;;
;i) Other expenses;2.715;1.962;1.451;10.943;5.843;3.323;3.249;2.742;12.836;7.867
;Total Expenses;28.882;20.371;14.166;114.931;60.893;31.558;30.824;23.915;123.022;74.552
3;Pront/ (Loss) from operations before other income. finance costs and exceptional items (12);14;1.979;214;12.410;6.345;135;2.842;101;12.101;6.518
4;Other Income;41;74;29;350;288;212;210;192;760;472
5;Profit/ (Loss) from ordinary activities before finance Costs and exceptional items (3+4);55;2.053;185;12.760;6.633;77;3.052;91;12.861;6.990
6;Finance Costs;1.781;1.334;810;7.688;2.546;1.841;2.066;1.760;7.951;3.672
7;Profit / (Loss) from ordinary activities after finance costs but before exceptional items (56);1.726;719;995;5.072;4.087;1.764;986;1.669;4.910;3.318
;;;;;;;;;;;
8(a);Exceptional Expenditure/ (Income) (refer note 8);1.335;;;805;333;851;;125;321;125
8(b);Exceptional Expenditure / (Income) (net of tax expenses) (refer note 4(b));667;;;;;;;;;
9;Profit/ (Loss) from ordinary activity before tax [78(a)+8(b)];276;719;995;5.877;4.420;913;986;1.794;5.231;3.193
10;Tax expense/(credit);435;550;2.764;90;1.065;399;405;2.940;192;1.237
11;Net Profit/ (Loss) from ordinary activities after tax (910);711;1.269;1.769;5.787;5.485;514;1.391;1.146;5.039;4.430
12;ExtraOrdinary items (net of tax expenses);;;;;;;;;;
13;Net Profit/ (Loss) for the period (11+12);711;1.269;1.769;5.787;5.485;514;1.391;1.146;5.039;4.430
14;Share of profit/ (loss) of associates;;;;;;;;;;
15;Minority interest;;;;;;588;25;26;566;20
16;Net Profit/ (Loss) after taxes. minority interest and share of profit/ (Loss) of associates (13+14+15);711;1.269;1.769;5.787;5.485;74;1.416;1.172;5.605;4.450
17;paidup Equity Share Capital (Face Value Of Rs.10 each);4.111;3.991;3.962;4.111;3.962;4.111;3.991;3.962;4.111;3.962
;Paidup value of Nonconvertible Debentures;7.900;2.900;2.900;7.900;2.900;7.900;2.900;2.900;7.900;2.900
18;Reserve excluding Revaluation Reserves as per balance sheet;;;;35.016;60.360;;;;35.819;60.313
19 I.;Earnings per Share (before extraordinary items);;;;;;;;;;
;(a) Besic Earning Per Share  not annualized;1.74;3.19;5.94;14.16;18.42;0.18;4.75;3.93;13.72;14.95
;(b) Diluted Earning Per Share  not annualized;1.73;3.19;5.93;14.13;18.40;0.18;4.75;3.93;13.69;14.93
;(fully paid up equity share of Rs.10 each);;;;;;;;;;
19 II.;(a) Basic Earning Per Share  not annualized;1.74;3.19;5.94;14.16;18.42;0.18;4.75;3.93;13.72;14.95
;(b) Diluted Earning Per Share  not annualized;1.73;3.19;5.93;14.13;18.40;0.18;4.75;3.93;13.69;14.93
;(fully paid up equity share Of Rs.10 each);;;;;;;;;;
