No.;Particulars;;Quarter ended;;Year ended;;;Quarter ended;;Year ended;
part 1;;31.03.2015;31.12.2014;31.03.2014;31.03.2015;31.03.2014;31.03.2015;31.12.2014;31.03.2014;31.03.2015;31.03.2014
;;Audited;Unaudited;Audited;Audited;Audited;Unaudited;Unaudited;Unaudited;Audited;Audited
1;;;;;;;;;;;
;(a) Net sales/ income from operations;27.384;39.635;28.885;138.398;127.119;29.704;41.887;31.402;147.712;134.811
;(b) Other Operating income;98;70;11;250;222;251;84;21;422;312
2;Total income from operations (net);27.482;39.705;28.896;138.648;127.341;29.955;41.971;31.423;148.134;135.123
;EXPENSES;;;;;;;;;;
;a) Film exhibition cost;6.520;10.150;7.470;35.319;34.108;6.296;9.849;6.860;34.218;32.949
;b) cost of Food & Beverages consumed;1.947;2.823;2.020;10.029;8.547;2.105;3.005;2.167;10.738;9.231
;c) Employee benefits expenses;3.285;3.328;2.710;12.903;11.539;3.582;3.696;3.068;14.304;12.949
;d) Depreciation and amortisation (refer note 5);2.245;2.680;2.779;9.954;7.879;2.532;3.185;3.441;11.680;9.438
;c) rent;6.528;6.780;5.850;26.430;22.168;6.779;6.988;6.046;27.346;23.044
;f) repairs and maintenance;1.354;1.329;1.768;5.397;4.835;1.421;1.399;1.840;5.693;5.153
;g) Productivity & CAM;3.925;4.573;3.766;18.087;15.489;4.159;4.826;4.009;19.111;16.483
;h) Other expenses;3.106;3.055;2.519;11.590;10.366;4.538;3.985;4.127;16.221;13.775
3;Total Expenses;28.910;34.718;28.882;129.709;114.931;31.412;36.933;31.558;139.311;123.022
4;Profit / (Loss) from operations before other income. finance costs and exceptional items (12);1.428;4.987;14;8.939;12.410;1.457;5.038;135;8.823;12.101
5;Other income;153;44;41;273;350;195;87;212;464;760
6;Profit / (Loss} from ordinary activities before finance costs and exceptional items (3+4);1.275;5.031;55;9.212;12.760;1.262;5.125;77;9.287;12.861
7;Finance Costs;1.994;1.888;1.781;7.633;7.688;2.031;1.934;1.841;7.825;7.951
;Profit/ (Loss) from ordinary activities after finance costs but before exceptional items (56);;;;;;;;;;
8(a);;3.269;3.143;1.726;1.579;5.072;3.293;3.191;1.764;1.462;4.910
8(b);Exceptional Expenditure/ (income) (refer note 11);217;;1.335;217;805;217;;851;217;321
9;Exceptional Expenditure/ (income);;;667;;;;;;;
10;Profit / (Loss) from ordinary activity before tax [78(a)+8(b)];3.486;3.143;276;1.362;5.877;3.510;3.191;913;1.245;5.231
11;Tax expense/(credit);;;435;;90;46;32;399;81;192
12;Net Profit/ (Loss) from ordinary activities after tax (910);3.486;3.143;711;1.362;5.787;3.556;3.159;514;1.164;5.039
13;ExtraOrdinary items (net of tax expenses);;;;;;;;;;
14;Net Profit/ (Loss) for the period (11+12);3.486;3.143;711;1.362;5.787;3.556;3.159;514;1.164;5.039
15;Share of profit/ (loss) of associates;;;;;;;;;;
16;Minority interest;;;;;;9;4;588;112;566
;Net Profit/ (Loss) after taxes. minority interest and share of profit/ (loss) of associates (13+14+15);3.486;3.143;711;1.362;5.787;3.565;3.155;74;1.276;5.605
