;;;STANDALONE;;;
;;;3 months ended;;Year ended;
S.No.;Particulars;;;;;
;;31.03.2021;31.12.2020;31.03.2020;31.03.2021;31.03.2020
;;(Audited);(Unaudited);(Audited);(Audited);(Audited)
1;lncome;;;;;
;Revenue from operations;16.823;3.901;62.351;22.572;3.28.436
;Other income (refer note 3);8.290;27.629;1.844;47.275;4.286
;Total income;25.113;31.530;64.195;69.847;3.32.722
2;Expenses;;;;;
;Movie exhibition cost;4.050;630;14.515;4.680;77.021
;Consumption of food and beverages;1.519;308;5.012;1.833;25.927
;Employee benefits expense;5.687;4.609;7.340;20.742;38.166
;Finance costs;12.284;12.590;11.562;49.347;47.984
;Depreciation and amortisation expense;14.218;13.961;13.924;56.349;53.306
;Other expenses;11.122;5.862;18.665;28.271;80.774
;Total expenses;48.880;37.960;71.018;1.61.222;3.23.178
3;Profit/(loss) before tax (12);23.767;6.430;6.823;91.375;9.544
4;Tax expense;;;;;
;Current tax;54;40;6.440;64;2.882
;Deferred tax (refer note 7);4.320;2.342;7.179;18.961;3.646
;Total tax expense;4.266;2.302;739;19.025;6.528
5;Net profit/(loss) after tax (34);28.033;4.128;7.562;72.350;3.016
6;Other comprehensive income/(expense) (net of tax);;;;;
;Items that will net be reclassified to profit loss;24;29;179;8;682
;Items that will be classified to profit or loss;;;;;
7;Total comprehensive income/expense (5+6);28.009;4.157;7.383;72.358;2.334
8;Paidup equity share capital (face value of Rs.10 each. fully paid);6.076;5.517;5.135;6.076;5.135
;;;;;;
9;Other equity as shown in the audited balance sheet as at;;;;1.77.966;1.41.187
10;Earnings per share on net profit/(loss) after tax (fully paid up equity share of Rs. 10 each) (refer note 4 and note 11);;;;;
;Basic earnings per share;49.04;6.78;15.19;131.23;5.96
;Diluted earnings per share;49.04;6.78;15.19;131.23;5.93
