;;;;STANDALONE;;
;;;3 months ended;;Year ended;
S.No.;Particulars;;;;;
;;31.03.2022;31.12.2021;31.03.2021;31.03.2022;31.03.2021
;;(Audited);(Unaudited);(Audited);(Audited);(Audited)
1;Income;;;;;
;Revenue from operations;51.209;54.694;16.823;1.21.331;22.572
;Other income (refer note 4);4.064;7.934;8.29;31.074;47.275
;Total income;55.273;62.628;25.113;1.52.405;69.847
2;Expenses;;;;;
;Movie exhibition cost;13.466;13.999;4.05;31.2;4.68
;Consumption of food and beverages;4.085;4.363;1.519;9.857;1.833
;Employee benefits expense;7.732;7.541;5.687;25.602;20.742
;Finance costs;12.42;12.462;12.284;49.394;49.347
;Depreciation and amortisation expense;15.775;15.153;14.218;59.442;56.349
;Other expenses;15.077;12.938;11.122;44.057;28.271
;Total expenses;68.555;66.456;48.88;2.19.552;1.61.22
3;Loss before tax (1-2);13.282;3.828;23.767;67.147;91.375
4;Tax ex ense;;;;;
;Current tax;;;54;;64
;Deferred tax;4.286;1.375;4.32;19.312;18.961
;Total tax expense;4.286;1.375;4.266;19.312;19.025
5;Loss after tax (3-4);8.996;2.453;28.033;47.835;72.35
6;Other comprehensive income/(expense) (net of tax);;;;;
;Items that will not be re-classified to profit or loss;4;188;24;40;8
;Items that wil be re-classified to profit or loss;;;;;
7;Total comprehensive income/(expense) (5+6);9;2.641;28.009;47.875;72.358
8;Paid-up equity share capital (face value of Rs.10 each. fully paid);6.1;6.095;6.076;6.1;6076
9;Other equity as shown in the audited balance sheet as at;;;;1.32.748;1.77.966
10;Earnings per share on net loss after tax (fully paid up equity share of Rs.10 each) (refer note 8);;;;;
;Basic earnings per share;14.74;3.99;49.04;78.60;131.23
;Diluted earnings per share;14.74;3.99;49.04;78.60;131.23
